Driver,Points,Race
Hakkinen,0,0
Hakkinen,10,1
Hakkinen,20,2
Hakkinen,26,3
Hakkinen,26,4
Hakkinen,36,5
Hakkinen,46,6
Hakkinen,46,7
Hakkinen,50,8
Hakkinen,56,9
Hakkinen,66,10
Hakkinen,76,11
Hakkinen,77,12
Hakkinen,77,13
Hakkinen,80,14
Hakkinen,90,15
Hakkinen,100,16
Schumacher,0,0
Schumacher,0,1
Schumacher,4,2
Schumacher,14,3
Schumacher,20,4
Schumacher,24,5
Schumacher,24,6
Schumacher,34,7
Schumacher,44,8
Schumacher,54,9
Schumacher,58,10
Schumacher,60,11
Schumacher,70,12
Schumacher,70,13
Schumacher,80,14
Schumacher,86,15
Schumacher,86,16
