Driver,Points,Race,,
Verstappen,0,0,,
Verstappen,0,1,,BRN
Verstappen,25,2,,SAU
Verstappen,25,3,,AUS
Verstappen,59,4,,ITA
Verstappen,85,5,,MIA
Verstappen,110,6,,ESP
Verstappen,125,7,,MON
Verstappen,150,8,,AZB
Verstappen,175,9,,CAN
Verstappen,181,10,,GBR
Verstappen,208,11,,AUT
Verstappen,233,12,,FRA
Verstappen,258,13,,HUN
Verstappen,284,14,,BEL
Verstappen,310,15,,NED
Verstappen,335,16,,ITA
Verstappen,335,17,,RUS
Verstappen,341,18,,SIN
Verstappen,341,19,,JPN
Verstappen,366,20,,USA
Verstappen,366,21,,MEX
Verstappen,366,22,,BRA
Verstappen,366,23,,ARE
Perez,0,0,,
Perez,0,1,,BRN
Perez,12,2,,SAU
Perez,30,3,,AUS
Perez,54,4,,ITA
Perez,66,5,,MIA
Perez,85,6,,ESP
Perez,110,7,,MON
Perez,129,8,,AZB
Perez,129,9,,CAN
Perez,147,10,,GBR
Perez,151,11,,AUT
Perez,163,12,,FRA
Perez,173,13,,HUN
Perez,191,14,,BEL
Perez,201,15,,NED
Perez,210,16,,ITA
Perez,210,17,,RUS
Perez,235,18,,SIN
Perez,253,19,,JPN
Perez,253,20,,USA
Perez,253,21,,MEX
Perez,253,22,,BRA
Perez,253,23,,ARE
Leclerc,0,0,,
Leclerc,26,1,,BRN
Leclerc,45,2,,SAU
Leclerc,71,3,,AUS
Leclerc,86,4,,ITA
Leclerc,104,5,,MIA
Leclerc,104,6,,ESP
Leclerc,116,7,,MON
Leclerc,116,8,,AZB
Leclerc,126,9,,CAN
Leclerc,138,10,,GBR
Leclerc,170,11,,AUT
Leclerc,170,12,,FRA
Leclerc,178,13,,HUN
Leclerc,186,14,,BEL
Leclerc,201,15,,NED
Leclerc,219,16,,ITA
Leclerc,219,17,,RUS
Leclerc,237,18,,SIN
Leclerc,252,19,,JPN
Leclerc,252,20,,USA
Leclerc,252,21,,MEX
Leclerc,252,22,,BRA
Leclerc,252,23,,ARE
Russell,0,0,,
Russell,12,1,,BRN
Russell,22,2,,SAU
Russell,37,3,,AUS
Russell,49,4,,ITA
Russell,59,5,,MIA
Russell,74,6,,ESP
Russell,84,7,,MON
Russell,99,8,,AZB
Russell,111,9,,CAN
Russell,111,10,,GBR
Russell,128,11,,AUT
Russell,143,12,,FRA
Russell,158,13,,HUN
Russell,170,14,,BEL
Russell,188,15,,NED
Russell,203,16,,ITA
Russell,203,17,,RUS
Russell,203,18,,SIN
Russell,207,19,,JPN
Russell,207,20,,USA
Russell,207,21,,MEX
Russell,207,22,,BRA
Russell,207,23,,ARE
Sainz,0,0,,
Sainz,18,1,,BRN
Sainz,33,2,,SAU
Sainz,33,3,,AUS
Sainz,38,4,,ITA
Sainz,53,5,,MIA
Sainz,65,6,,ESP
Sainz,83,7,,MON
Sainz,83,8,,AZB
Sainz,102,9,,CAN
Sainz,127,10,,GBR
Sainz,133,11,,AUT
Sainz,144,12,,FRA
Sainz,156,13,,HUN
Sainz,171,14,,BEL
Sainz,175,15,,NED
Sainz,187,16,,ITA
Sainz,187,17,,RUS
Sainz,202,18,,SIN
Sainz,202,19,,JPN
Sainz,202,20,,USA
Sainz,202,21,,MEX
Sainz,202,22,,BRA
Sainz,202,23,,ARE
Hulkenberg,0,0,,
Hulkenberg,0,1,,BRN
Hulkenberg,0,2,,SAU
Hulkenberg,0,3,,AUS
Hulkenberg,0,4,,ITA
Hulkenberg,0,5,,MIA
Hulkenberg,0,6,,ESP
Hulkenberg,0,7,,MON
Hulkenberg,0,8,,AZB
Hulkenberg,0,9,,CAN
Hulkenberg,0,10,,GBR
Hulkenberg,0,11,,AUT
Hulkenberg,0,12,,FRA
Hulkenberg,0,13,,HUN
Hulkenberg,0,14,,BEL
Hulkenberg,0,15,,NED
Hulkenberg,0,16,,ITA
Hulkenberg,0,17,,RUS
Hulkenberg,0,18,,SIN
Hulkenberg,0,19,,JPN
Hulkenberg,0,20,,USA
Hulkenberg,0,21,,MEX
Hulkenberg,0,22,,BRA
Hulkenberg,0,23,,ARE
Latifi,0,0,,
Latifi,0,1,,BRN
Latifi,0,2,,SAU
Latifi,0,3,,AUS
Latifi,0,4,,ITA
Latifi,0,5,,MIA
Latifi,0,6,,ESP
Latifi,0,7,,MON
Latifi,0,8,,AZB
Latifi,0,9,,CAN
Latifi,0,10,,GBR
Latifi,0,11,,AUT
Latifi,0,12,,FRA
Latifi,0,13,,HUN
Latifi,0,14,,BEL
Latifi,0,15,,NED
Latifi,0,16,,ITA
Latifi,0,17,,RUS
Latifi,0,18,,SIN
Latifi,2,19,,JPN
Latifi,2,20,,USA
Latifi,2,21,,MEX
Latifi,2,22,,BRA
Latifi,2,23,,ARE
de Vries,0,0,,
de Vries,0,1,,BRN
de Vries,0,2,,SAU
de Vries,0,3,,AUS
de Vries,0,4,,ITA
de Vries,0,5,,MIA
de Vries,0,6,,ESP
de Vries,0,7,,MON
de Vries,0,8,,AZB
de Vries,0,9,,CAN
de Vries,0,10,,GBR
de Vries,0,11,,AUT
de Vries,0,12,,FRA
de Vries,0,13,,HUN
de Vries,0,14,,BEL
de Vries,0,15,,NED
de Vries,2,16,,ITA
de Vries,2,17,,RUS
de Vries,2,18,,SIN
de Vries,2,19,,JPN
de Vries,2,20,,USA
de Vries,2,21,,MEX
de Vries,2,22,,BRA
de Vries,2,23,,ARE
Hamilton,0,0,,
Hamilton,15,1,,BRN
Hamilton,16,2,,SAU
Hamilton,28,3,,AUS
Hamilton,28,4,,ITA
Hamilton,36,5,,MIA
Hamilton,46,6,,ESP
Hamilton,50,7,,MON
Hamilton,62,8,,AZB
Hamilton,77,9,,CAN
Hamilton,93,10,,GBR
Hamilton,109,11,,AUT
Hamilton,127,12,,FRA
Hamilton,146,13,,HUN
Hamilton,146,14,,BEL
Hamilton,158,15,,NED
Hamilton,168,16,,ITA
Hamilton,168,17,,RUS
Hamilton,170,18,,SIN
Hamilton,180,19,,JPN
Hamilton,180,20,,USA
Hamilton,180,21,,MEX
Hamilton,180,22,,BRA
Hamilton,180,23,,ARE
