driver,fastest lap,,,,
Max Verstappen,01:07.3,,,,
Charles Leclerc,01:07.6,,,,
Fernando Alonso,01:08.6,,,,
Carlos Sainz,01:08.6,,,,
Lewis Hamilton,01:09.0,,,,
George Russell,01:09.1,,,,
Valtteri Bottas,01:09.3,,,,
Lando Norris,01:09.3,,,,
Zhou Guanyu,01:09.4,,,,
Esteban Ocon,01:09.6,,,,
Mick Schumacher,01:09.6,,,,
Alexander Albon,01:09.7,,,,
Daniel Ricciardo,01:09.9,,,,
Kevin Magnussen,01:09.9,,,,
Sebastian Vettel,01:10.0,,,,
Yuki Tsunoda,01:10.0,,,,
Lance Stroll,01:10.0,,,,
Pierre Gasly,01:10.1,,,,
Nicholas Latifi,01:10.9,,,,
Sergio Perez,01:11.8,,,,
