driver,fastest lap,,,,
Sergio Perez,01:46.0,,,,
Max Verstappen,01:46.1,,,,
Lewis Hamilton,01:47.0,,,,
George Russell,01:47.2,,,,
Yuki Tsunoda,01:47.5,,,,
Charles Leclerc,01:47.5,,,,
Alexander Albon,01:48.0,,,,
Fernando Alonso,01:48.0,,,,
Lando Norris,01:48.0,,,,
Lance Stroll,01:48.0,,,,
Valtteri Bottas,01:48.2,,,,
Sebastian Vettel,01:48.2,,,,
Daniel Ricciardo,01:48.3,,,,
Esteban Ocon,01:48.3,,,,
Mick Schumacher,01:48.4,,,,
Pierre Gasly,01:48.5,,,,
Zhou Guanyu,01:48.7,,,,
Kevin Magnussen,01:48.8,,,,
Carlos Sainz,01:49.0,,,,
Nicholas Latifi,01:49.6,,,,
