driver,fastest lap,,,,
Charles Leclerc,01:34.6,,,,
Max Verstappen,01:35.4,,,,
Carlos Sainz,01:35.7,,,,
Sergio Perez,01:36.1,,,,
Lewis Hamilton,01:36.2,,,,
George Russell,01:36.3,,,,
Valtteri Bottas,01:36.6,,,,
Kevin Magnussen,01:36.6,,,,
Zhou Guanyu,01:36.7,,,,
Fernando Alonso,01:36.7,,,,
Mick Schumacher,01:37.0,,,,
Lando Norris,01:37.0,,,,
Yuki Tsunoda,01:37.1,,,,
Esteban Ocon,01:37.1,,,,
Lance Stroll,01:37.1,,,,
Daniel Ricciardo,01:37.3,,,,
Pierre Gasly,01:37.3,,,,
Alexander Albon,01:37.4,,,,
Nico Hulkenberg,01:38.2,,,,
Nicholas Latifi,01:38.3,,,,
