driver,fastest lap,,,,
Max Verstappen,01:49.4,,,,
Charles Leclerc,01:50.0,,,,
Sergio Perez,01:50.8,,,,
George Russell,01:50.8,,,,
Lando Norris,01:51.7,,,,
Esteban Ocon,01:51.7,,,,
Carlos Sainz,01:52.0,,,,
Nicholas Latifi,01:52.3,,,,
Zhou Guanyu,01:52.3,,,,
Yuki Tsunoda,01:52.4,,,,
Sebastian Vettel,01:52.5,,,,
Mick Schumacher,01:52.6,,,,
Fernando Alonso,01:52.9,,,,
Lance Stroll,01:52.9,,,,
Pierre Gasly,01:53.0,,,,
Alexander Albon,01:53.1,,,,
Daniel Ricciardo,01:53.1,,,,
Kevin Magnussen,01:53.3,,,,
,,,,,
,,,,,
