driver,fastest lap,,,,
Carlos Sainz,01:15.7,,,,
Max Verstappen,01:15.8,,,,
Charles Leclerc,01:15.9,,,,
Lewis Hamilton,01:16.2,,,,
George Russell,01:16.4,,,,
Zhou Guanyu,01:16.6,,,,
Valtteri Bottas,01:16.9,,,,
Fernando Alonso,01:17.0,,,,
Esteban Ocon,01:17.1,,,,
Lance Stroll,01:17.4,,,,
Lando Norris,01:17.5,,,,
Pierre Gasly,01:17.8,,,,
Daniel Ricciardo,01:17.9,,,,
Alexander Albon,01:18.0,,,,
Sebastian Vettel,01:18.0,,,,
Kevin Magnussen,01:18.0,,,,
Yuki Tsunoda,01:18.3,,,,
Nicholas Latifi,01:18.5,,,,
Sergio Perez,01:18.8,,,,
Mick Schumacher,01:19.0,,,,
