driver,fastest lap,,,,
Max Verstappen,01:18.4,,,,
Charles Leclerc,01:18.6,,,,
Sergio Perez,01:18.9,,,,
Mick Schumacher,01:19.0,,,,
Yuki Tsunoda,01:20.5,,,,
Valtteri Bottas,01:20.8,,,,
Lando Norris,01:20.9,,,,
George Russell,01:21.0,,,,
Sebastian Vettel,01:21.2,,,,
Kevin Magnussen,01:21.2,,,,
Zhou Guanyu,01:21.3,,,,
Nicholas Latifi,01:21.3,,,,
Lewis Hamilton,01:21.4,,,,
Daniel Ricciardo,01:21.6,,,,
Pierre Gasly,01:21.7,,,,
Lance Stroll,01:21.8,,,,
Alexander Albon,01:21.8,,,,
Esteban Ocon,01:21.9,,,,
Fernando Alonso,01:39.7,,,,
