driver,fastest lap,,,,
Carlos Sainz,01:35.8,,,,
Max Verstappen,01:37.5,,,,
George Russell,01:37.5,,,,
Lewis Hamilton,01:37.7,,,,
Sergio Perez,01:37.8,,,,
Valtteri Bottas,01:38.0,,,,
Charles Leclerc,01:38.1,,,,
Fernando Alonso,01:38.2,,,,
Esteban Ocon,01:38.7,,,,
Pierre Gasly,01:38.8,,,,
Lando Norris,01:39.0,,,,
Sebastian Vettel,01:39.0,,,,
Mick Schumacher,01:39.1,,,,
Daniel Ricciardo,01:39.1,,,,
Lance Stroll,01:39.2,,,,
Alexander Albon,01:39.2,,,,
Kevin Magnussen,01:39.3,,,,
Zhou Guanyu,01:39.4,,,,
Nicholas Latifi,01:39.6,,,,
Yuki Tsunoda,01:40.2,,,,
