driver,fastest lap,,,,
Lewis Hamilton,01:21.4,,,,
Charles Leclerc,01:21.6,,,,
Sergio Perez,01:21.9,,,,
Carlos Sainz,01:22.0,,,,
Zhou Guanyu,01:22.0,,,,
Max Verstappen,01:22.1,,,,
Lance Stroll,01:22.4,,,,
Nicholas Latifi,01:22.5,,,,
George Russell,01:22.8,,,,
Sebastian Vettel,01:22.8,,,,
Lando Norris,01:23.0,,,,
Alexander Albon,01:23.0,,,,
Mick Schumacher,01:23.2,,,,
Pierre Gasly,01:23.2,,,,
Kevin Magnussen,01:23.5,,,,
Yuki Tsunoda,01:23.5,,,,
Daniel Ricciardo,01:23.7,,,,
Fernando Alonso,01:24.0,,,,
Valtteri Bottas,01:24.0,,,,
Esteban Ocon,01:24.1,,,,
