driver,fastest lap,,,,
Sergio Perez,01:24.0,,,,
Charles Leclerc,01:24.3,,,,
Lewis Hamilton,01:24.4,,,,
Carlos Sainz,01:24.4,,,,
Lando Norris,01:24.7,,,,
Max Verstappen,01:24.7,,,,
George Russell,01:25.3,,,,
Mick Schumacher,01:25.3,,,,
Valtteri Bottas,01:25.7,,,,
Zhou Guanyu,01:26.4,,,,
Esteban Ocon,01:26.6,,,,
Daniel Ricciardo,01:26.6,,,,
Nyck De Vries,01:26.6,,,,
Pierre Gasly,01:26.7,,,,
Nicholas Latifi,01:26.8,,,,
Kevin Magnussen,01:26.8,,,,
Yuki Tsunoda,01:26.9,,,,
Fernando Alonso,01:27.2,,,,
Lance Stroll,01:27.5,,,,
Sebastian Vettel,01:27.5,,,,
