driver,fastest lap,,,,
Charles Leclerc,01:20.3,,,,
Fernando Alonso,01:20.8,,,,
Sergio Perez,01:21.1,,,,
George Russell,01:21.5,,,,
Valtteri Bottas,01:21.7,,,,
Max Verstappen,01:21.7,,,,
Lewis Hamilton,01:21.9,,,,
Lando Norris,01:22.2,,,,
Daniel Ricciardo,01:22.5,,,,
Esteban Ocon,01:22.5,,,,
Zhou Guanyu,01:22.5,,,,
Alexander Albon,01:22.6,,,,
Pierre Gasly,01:22.7,,,,
Mick Schumacher,01:23.0,,,,
Kevin Magnussen,01:23.1,,,,
Yuki Tsunoda,01:23.3,,,,
Lance Stroll,01:23.6,,,,
Nicholas Latifi,01:23.9,,,,
Sebastian Vettel,01:25.2,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
