driver,fastest lap,,,,
Lando Norris,01:14.7,,,,
Yuki Tsunoda,01:15.3,,,,
Fernando Alonso,01:15.9,,,,
Sergio Perez,01:16.0,,,,
Max Verstappen,01:16.1,,,,
Charles Leclerc,01:16.2,,,,
Carlos Sainz,01:16.4,,,,
George Russell,01:16.8,,,,
Lewis Hamilton,01:17.2,,,,
Pierre Gasly,01:17.3,,,,
Daniel Ricciardo,01:17.5,,,,
Sebastian Vettel,01:17.6,,,,
Esteban Ocon,01:17.6,,,,
Valtteri Bottas,01:17.6,,,,
Lance Stroll,01:17.7,,,,
Alexander Albon,01:18.0,,,,
Zhou Guanyu,01:18.2,,,,
Nicholas Latifi,01:18.6,,,,
Mick Schumacher,01:24.8,,,,
Kevin Magnussen,01:33.8,,,,
