driver,fastest lap,,,,
Max Verstappen,01:13.7,,,,
George Russell,01:13.7,,,,
Lewis Hamilton,01:13.9,,,,
Fernando Alonso,01:14.1,,,,
Sergio Perez,01:14.4,,,,
Charles Leclerc,01:14.4,,,,
Carlos Sainz,01:14.6,,,,
Lando Norris,01:14.7,,,,
Sebastian Vettel,01:14.9,,,,
Lance Stroll,01:15.0,,,,
Esteban Ocon,01:15.1,,,,
Pierre Gasly,01:15.2,,,,
Mick Schumacher,01:15.2,,,,
Kevin Magnussen,01:15.4,,,,
Alexander Albon,01:15.5,,,,
Daniel Ricciardo,01:15.6,,,,
Zhou Guanyu,01:15.9,,,,
Nicholas Latifi,01:16.1,,,,
Valtteri Bottas,01:16.8,,,,
Yuki Tsunoda,01:17.1,,,,
