driver,fastest lap,,,,
Charles Leclerc,01:31.6,,,,
Max Verstappen,01:31.8,,,,
Carlos Sainz,01:31.9,,,,
Sergio Perez,01:32.0,,,,
Lando Norris,01:32.8,,,,
Kevin Magnussen,01:32.8,,,,
George Russell,01:32.8,,,,
Lewis Hamilton,01:33.0,,,,
Esteban Ocon,01:33.1,,,,
Pierre Gasly,01:33.5,,,,
Nico Hulkenberg,01:33.7,,,,
Fernando Alonso,01:33.8,,,,
Zhou Guanyu,01:33.9,,,,
Valtteri Bottas,01:34.0,,,,
Alexander Albon,01:34.4,,,,
Lance Stroll,01:34.4,,,,
Daniel Ricciardo,01:34.5,,,,
Nicholas Latifi,01:37.5,,,,
,,,,,
