driver,fastest lap,,,,
Sergio Perez,01:24.1,,,,
Lewis Hamilton,01:24.3,,,,
George Russell,01:24.6,,,,
Max Verstappen,01:25.5,,,,
Lando Norris,01:25.6,,,,
Esteban Ocon,01:25.9,,,,
Carlos Sainz,01:26.0,,,,
Valtteri Bottas,01:26.4,,,,
Fernando Alonso,01:26.6,,,,
Yuki Tsunoda,01:26.8,,,,
Lance Stroll,01:26.9,,,,
Pierre Gasly,01:27.0,,,,
Charles Leclerc,01:27.0,,,,
Nicholas Latifi,01:27.2,,,,
Daniel Ricciardo,01:27.3,,,,
Mick Schumacher,01:27.4,,,,
Kevin Magnussen,01:27.5,,,,
Sebastian Vettel,01:27.6,,,,
Alexander Albon,01:28.3,,,,
Zhou Guanyu,01:28.4,,,,
